NCBI gene (formerly Entrezgene) ID	Gene name
100616421	MIR4689
261734	NPHP4
8514	KCNAB2
26038	CHD5
	AL031847.1
6146	RPL22
102724450	RNF207-AS1
388591	RNF207
23463	ICMT
	LINC00337
390992	HES3
387509	GPR153
11332	ACOT7
	AL031848.2
54626	HES2
83715	ESPN
100422975	MIR4252
	AL031848.1
8718	TNFRSF25
57449	PLEKHG5
79707	NOL9
	RNU6-731P
	AL591866.1
80835	TAS1R1
3104	ZBTB48
9903	KLHL21
148479	PHF13
90326	THAP3
55735	DNAJC11
	LINC01672
	AL591163.1
	CAMTA1-DT
23261	CAMTA1
	AL590128.1
	AL512330.1
	RNU1-8P
	CAMTA1-IT1
102725193	CAMTA1-AS2
	CAMTA1-AS1
	AL359881.3
	AL359881.2
	AL359881.1
9341	VAMP3
	Z98884.2
8863	PER3
	Z98884.1
10911	UTS2
3604	TNFRSF9
	AL009183.1
11315	PARK7
	Y_RNA
	AL034417.4
	AL034417.3
54206	ERRFI1
	AL034417.2
	AL034417.1
	AL358876.1
102724539	LINC01714
	RNU1-7P
	AL358876.2
	RNU6-991P
50651	SLC45A1
	AL356072.1
473	RERE
	RERE-AS1
	AL096855.1
	AL096855.2
	RPL7P11
	RPL7P7
	AL357552.1
	AL357552.2
	RPL23AP19
2023	ENO1
102465436	MIR6728
100505975	ENO1-AS1
	RNU6-304P
	HMGN2P17
	AL139415.1
	AL139415.2
765	CA6
	RN7SL451P
155184	SLC2A7
6518	SLC2A5
	AL158048.1
80045	GPR157
106614088	MIR34AHG
407040	MIR34A
102724571	LNCTAM34A
9563	H6PD
80176	SPSB1
	BX323043.1
100506022	LINC02606
	RNA5SP40
	AL928921.1
84275	SLC25A33
	AL954705.1
199953	TMEM201
5293	PIK3CD
644997	PIK3CD-AS1
	AL691449.1
101929074	PIK3CD-AS2
22883	CLSTN1
	MZT1P1
	AL357140.3
56998	CTNNBIP1
	AL357140.1
	AL357140.4
84328	LZIC
	AL357140.2
64802	NMNAT1
	RN7SKP269
113391335	TMEM274P
100847055	MIR5697
	AL603962.1
116362	RBP7
10277	UBE4B
	AL590639.1
	PGAM1P11
	RNU6-828P
23095	KIF1B
	AL358013.1
	RNU6-37P
	RN7SL731P
	AL139424.3
	AL139424.2
5226	PGD
	AL139424.1
100526739	CENPS-CORT
378708	CENPS
1325	CORT
1676	DFFA
	AL354956.1
5195	PEX14
	AL139423.2
	RN7SL614P
54897	CASZ1
	AL139423.1
	HSPE1P24
148345	C1orf127
	CFL1P6
23435	TARDBP
	AL109811.3
10747	MASP2
	AL109811.2
6723	SRM
5394	EXOSC10
	AL109811.1
105376736	EXOSC10-AS1
2475	MTOR
100873935	MTOR-AS1
	RNU6-537P
10218	ANGPTL7
	RNU6-291P
	RPL39P6
29914	UBIAD1
	UBE2V2P3
	AL031291.1
	MTCYBP45
57540	DISP3
	AL590989.1
101929181	LINC01647
	AL031731.1
26232	FBXO2
93611	FBXO44
26270	FBXO6
10459	MAD2L2
374946	DRAXIN
57085	AGTRAP
284498	C1orf167
102724659	C1orf167-AS1
4524	MTHFR
1185	CLCN6
	AL021155.2
	AL021155.3
4878	NPPA
	AL021155.1
4879	NPPB
	SBF1P2
	AL021155.4
	RNU5E-1
	RNU5E-4P
90231	KIAA2013
5351	PLOD1
	AL096840.3
9927	MFN2
	AL096840.2
60672	MIIP
	AL096840.1
102466982	MIR6729
	RN7SL649P
943	TNFRSF8
	RNU6-777P
	RPL23AP89
	AL357835.1
102465836	MIR7846
7133	TNFRSF1B
100616438	MIR4632
	RPL10P17
	SNORA70
55187	VPS13D
677882	SNORA59A
677885	SNORA59A
	LINC02766
9249	DHRS3
	RNU6ATAC18P
102466722	MIR6730
	AC254633.1
343066	AADACL4
	AC244670.1
126767	AADACL3
93190	C1orf158
390999	PRAMEF12
65121	PRAMEF1
	LINC01784
440560	PRAMEF11
	PRAMEF30P
343069	HNRNPCL1
65122	PRAMEF2
400735	PRAMEF4
343071	PRAMEF10
441871	PRAMEF7
	RNU6-1072P
	PRAMEF29P
440561	PRAMEF6
	PRAMEF28P
101929983	PRAMEF27
649330	HNRNPCL3
441873	PRAMEF25
645359	PRAMEF25
	PRAMEF34P
	PRAMEF35P
440563	HNRNPCL2
	PRAMEF36P
	AC245056.1
645359	PRAMEF26
101060301	HNRNPCL4
343070	PRAMEF9
400736	PRAMEF13
391003	PRAMEF18
	PRAMEF31P
343068	PRAMEF5
	PRAMEF32P
	RNU6-771P
391002	PRAMEF8
645382	PRAMEF33
653619	PRAMEF15
	AC243961.1
729528	PRAMEF14
645414	PRAMEF19
391004	PRAMEF17
645425	PRAMEF20
126755	LRRC38
	AL354712.1
	BRWD1P1
10630	PDPN
	RNA5SP41
	AL359771.1
	AL359771.2
7799	PRDM2
23254	KAZN
	RNU6-1265P
	AL357873.1
	KAZN-AS1
	TBCAP2
	AL031293.1
200197	TMEM51-AS1
55092	TMEM51
	C1orf195
	MFFP1
	ZBTB2P1
114827	FHAD1
101927417	FHAD1-AS1
	AL031283.2
	AL031283.1
79180	EFHD2
11330	CTRC
63036	CELA2A
51032	CELA2B
842	CASP9
23341	DNAJC16
107397391	SCARNA21B
	AL121992.3
79814	AGMAT
	AL121992.1
	CHCHD2P6
	RNU7-179P
	CD24P1
84301	DDI2
6248	RSC1A1
	AL121992.2
23207	PLEKHM2
	AL450998.2
284723	SLC25A34
110806303	SLC25A34-AS1
388595	TMEM82
54751	FBLIM1
	RPL12P14
440567	UQCRHL
	AL450998.1
729614	FLJ37453
23013	SPEN
	AL034555.1
7709	ZBTB17
	AL355994.4
	AL355994.1
	AL355994.5
	TBC1D3P6
149563	SRARP
	AL355994.3
27129	HSPB7
1187	CLCNKA
	AL355994.2
1188	CLCNKB
348487	FAM131C
1969	EPHA2
	AL451042.2
	AL451042.1
	ARHGEF19-AS1
128272	ARHGEF19
	ANO7L1
	AL109627.1
79363	CPLANE2
	MT1XP1
54455	FBXO42
26099	SZRD1
	RPL22P3
374955	SPATA21
55707	NECAP2
107984921	LINC01772
114819	CROCCP3
26871	RNU1-1
	AL137802.2
	AL137802.3
	AL137802.1
100132147	LINC01783
	RNU1-6P
	AL355149.1
55672	NBPF1
	AL137798.1
84809	CROCCP2
	AL137798.3
	MST1P2
	AL137798.2
26869	RNU1-3
	AL021920.2
	EIF1AXP1
	ESPNP
	AL021920.1
	AL021920.3
9696	CROCC
	CROCCP4
6060	RNU1-4
11223	MST1L
	BX284668.1
	BX284668.3
100500876	MIR3675
112267871	BX284668.2
	RNU1-5P
105376805	BX284668.5
	BX284668.4
26870	RNU1-2
	BX284668.6
4237	MFAP2
105376806	AL049569.2
	AL049569.1
23400	ATP13A2
	AL049569.3
6390	SDHB
11240	PADI2
400743	LINC02783
	AL590644.1
29943	PADI1
51702	PADI3
100616188	MIR3972
23569	PADI4
353238	PADI6
55920	RCC2
	RCC2-AS1
55160	ARHGEF10L
	LINC02810
81569	ACTL8
	AL357509.1
101927876	LINC01654
84966	IGSF21
	AL365209.1
	IGSF21-AS1
	AL591896.1
127707	KLHDC7A
	DYNLL1P3
	AL031737.1
5081	PAX7
80834	TAS1R2
8659	ALDH4A1
100616120	MIR4695
100302276	MIR1290
126917	IFFO2
	AL137127.1
23352	UBR4
	EMC1-AS1
23065	EMC1
	AKR7L
51154	MRTO4
	AL035413.2
22977	AKR7A3
	AL035413.1
8574	AKR7A2
	RNU6-1099P
54896	SLC66A1
832	CAPZB
	RN7SL277P
440574	MICOS10
	RNU4-28P
105378614	AL031727.2
4681	NBL1
100532736	NBL1
	MICOS10-NBL1
	AL031727.1
3362	HTR6
255104	TMCO4
54546	RNF186
	AL391883.1
23252	OTUD3
30814	PLA2G2E
	RN7SL304P
5320	PLA2G2A
5322	PLA2G5
26279	PLA2G2D
64600	PLA2G2F
	Z98257.1
391013	PLA2G2C
101928017	UBXN10-AS1
127733	UBXN10
105376827	LINC01757
	Z98257.2
127731	VWA5B1
	AL020998.1
	LINC01141
	AL139254.1
	AL139254.2
	AL139254.3
55450	CAMK2N1
79594	MUL1
	RPS4XP4
163933	FAM43B
978	CDA
65018	PINK1
102464833	MIR6084
100861548	PINK1-AS
1650	DDOST
57576	KIF17
	AL663074.2
400745	SH2D5
	AL663074.1
50809	HP1BP3
8672	EIF4G3
	RNU7-200P
100302155	MIR1256
	RPS15AP6
	AL627311.1
	HSPE1P27
	AL031005.2
1889	ECE1
	AL031005.1
100506801	ECE1-AS1
	PPP1R11P1
	AL592309.1
	AL592309.2
	NBPF2P
	HS6ST1P1
	CROCCP5
84224	NBPF3
	PFN1P10
249	ALPL
	LINC02596
5909	RAP1GAP
84196	USP48
	AL590103.1
401944	LDLRAD2
3339	HSPG2
	AL590556.1
	AL590556.2
23436	CELA3B
	AL590556.3
	RN7SL386P
	RNU6-1022P
10136	CELA3A
	RN7SL186P
	RNU6-776P
101928043	LINC01635
29092	LINC00339
998	CDC42
	CDC42-AS1
	AL031281.1
	CDC42-IT1
	MPHOSPH6P1
54361	WNT4
105376845	AL445253.1
100616433	MIR4418
	PPIAP34
	AL591122.1
9923	ZBTB40
	ZBTB40-IT1
2046	EPHA8
102466615	MIR6127
712	C1QA
714	C1QC
713	C1QB
2048	EPHB2
100616391	MIR4684
	AL512444.1
100422914	MIR4253
646262	LACTBL1
729059	TEX46
23028	KDM1A
	AL031428.1
100422866	MIR3115
	AL031428.2
7798	LUZP1
	AL161672.1
	RNU6-514P
	RNU6-135P
3352	HTR1D
	AL109936.2
	LINC01355
	AL109936.8
10236	HNRNPR
80818	ZNF436
	ZNF436-AS1
	AL109936.1
	AL109936.3
6920	TCEA3
	AL357134.1
55616	ASAP3
1870	E2F2
	AL021154.1
3399	ID3
	AL450043.1
259283	MDS2
	AL451000.1
6135	RPL11
100506963	ELOA-AS1
6924	ELOA
57095	PITHD1
11313	LYPLA2
2582	GALE
3155	HMGCL
2517	FUCA1
1269	CNR2
	BTBD6P1
	AL590609.2
100616492	MIR378F
	H3P1
55629	PNRC2
10772	SRSF10
	AL590609.1
	AL591178.1
127294	MYOM3
	MYOM3-AS1
58985	IL22RA1
163702	IFNLR1
284632	LINC02800
	GRHL3-AS1
57822	GRHL3
90529	STPG1
57185	NIPAL3
100750325	RCAN3AS
11123	RCAN3
	NCMAP-DT
400746	NCMAP
	AL445686.1
10250	SRRM1
	AL445648.1
25932	CLIC4
	RNU6-1208P
864	RUNX3
102465437	MIR6731
	RUNX3-AS1
	AL445471.1
100616365	MIR4425
105376879	LINC02793
	AL050344.1
	IFITM3P7
	AL031432.1
25949	SYF2
	AL031432.4
	AL031432.5
57035	RSRP1
	AL031432.3
	AL031432.2
6007	RHD
	SDHDP6
	AL928711.1
23585	TMEM50A
6006	RHCE
	AL031284.1
55219	MACO1
26119	LDLRAP1
	AL606491.1
57134	MAN1C1
	AL031280.1
57190	SELENON
	AL020996.2
	AL020996.1
56181	MTFR1L
	AL020996.3
79000	AUNIP
	AL033528.3
164091	PAQR7
	AL033528.1
3925	STMN1
	SNRPFP2
	AL033528.2
100500808	MIR3917
5051	PAFAH2
	RNU6-110P
	AL592064.1
	AL592064.2
2134	EXTL1
7780	SLC30A2
	AL391650.2
84676	TRIM63
149420	PDIK1L
79927	FAM110D
110806296	C1orf232
	AL391650.1
51042	ZNF593
10256	CNKSR1
378807	CATSPER4
101928303	ZPLD2P
	AL355877.2
64793	CEP85
	AL355877.1
83442	SH3BGRL3
91544	UBXN11
1043	CD52
55057	CRYBG2
	AL451139.1
257101	ZNF683
79727	LIN28A
79947	DHDDS
	AL513365.1
	DHDDS-AS1
3151	HMGN2
	DPPA2P2
6195	RPS6KA1
100302190	MIR1976
	RN7SL679P
	RNU7-29P
	AL627313.1
	AL627082.2
	AL627082.1
101928728	AL512408.1
8289	ARID1A
55650	PIGV
	RN7SL165P
	AL034380.2
84243	ZDHHC18
2810	SFN
54707	GPN2
	AL034380.1
63906	GPATCH3
10726	NUDC
8431	NR0B2
126695	KDF1
	RPL12P13
	AL356390.1
	OSTCP2
388610	TRNP1
115572	TENT5B
6548	SLC9A1
	AL590640.2
	CHCHD3P3
	NPM1P39
	SNRPEP7
	AL590640.1
23038	WDTC1
	FO393419.3
84065	TMEM222
	RNU6-48P
	ACTG1P20
84958	SYTL1
9064	MAP3K6
8547	FCN3
388611	CD164L2
	FO393419.1
2827	GPR3
10163	WASF2
	FO393419.2
	BX293535.1
27245	AHDC1
2268	FGR
	AL031729.1
111216282	LINC02574
2537	IFI6
	AL445490.1
	RNU6-949P
	CHMP1AP1
	RNU6-424P
	AL020997.5
199870	FAM76A
	AL020997.1
	RPEP3
23673	STX12
	AL020997.2
	AL020997.3
	RNU6-1245P
	AL020997.4
5511	PPP1R8
677774	SCARNA1
9473	THEMIS2
6118	RPA2
27293	SMPDL3B
	AL512288.1
55113	XKR8
2140	EYA3
	AL512288.2
	RN7SL559P
	SPCS2P4
	AL137792.2
	AL137792.1
	RNU6-176P
5724	PTAFR
22826	DNAJC8
93974	ATP5IF1
	AL353622.1
	AL353622.2
83667	SESN2
54797	MED18
65979	PHACTR4
	CR391992.1
	RNU6ATAC27P
1104	RCC1
8420	SNHG3
	SNORA73A
26768	SNORA73B
	PRDX3P2
	AL513497.1
54952	TRNAU1AP
85028	SNHG12
692212	SNORD99
677838	SNORA61
677825	SNORA44
	SNORA16A
692073	SNORA16A
6883	TAF12
115273	RAB42
105378616	LINC01715
	AL360012.1
26824	RNU11
10691	GMEB1
	AL645729.1
51441	YTHDF2
4985	OPRD1
	AL009181.1
2035	EPB41
	AL138785.1
	Metazoa_SRP
399474	TMEM200B
	AL357500.1
6429	SRSF4
	AL357500.2
51102	MECR
	AL590729.1
10076	PTPRU
101928460	LINC01756
	AL671862.1
	AC092265.1
	AL645944.2
	AL645944.1
101929406	LINC01648
	AL137076.1
	AL021921.1
	AL161638.2
	AL161638.1
4146	MATN1
100129196	MATN1-AS1
	AL137857.1
7805	LAPTM5
100616164	MIR4420
	AL137027.1
	LINC01778
	RN7SKP91
	AL445235.1
9672	SDC3
	RN7SL371P
9698	PUM1
	AL356320.2
	AL356320.1
	SELENOWP1
	AC114495.1
79570	NKAIN1
9410	SNRNP40
	AC114495.2
51538	ZCCHC17
	AL451070.1
2170	FABP3
347735	SERINC2
	AC209007.1
	RNU6-40P
149086	LDC1P
	LINC01226
	AC114488.1
64129	TINAGL1
3061	HCRTR1
553115	PEF1
	PEF1-AS1
	AC114488.2
1307	COL16A1
576	ADGRB2
100423028	MIR4254
	AL354919.2
90853	SPOCD1
	AL354919.1
	AL136115.2
8073	PTP4A2
	AL136115.1
	AL136115.3
10657	KHDRBS1
	AL445248.1
55116	TMEM39B
100847018	MIR5585
23633	KPNA6
	AL049795.2
200081	TXLNA
79140	CCDC28B
	AL049795.1
55721	IQCC
149069	DCDC2B
56063	TMEM234
8668	EIF3I
	MTMR9LP
84734	FAM167B
3932	LCK
3065	HDAC1
65108	MARCKSL1
	AL109945.1
81629	TSSK3
100128071	FAM229A
55108	BSDC1
	GAPDHP20
	AL356986.1
	LRRC37A12P
	RN7SL122P
	AL033529.1
728116	ZBTB8B
653121	ZBTB8A
339487	ZBTB8OS
	AC114489.1
5928	RBBP4
81493	SYNC
	AC114489.2
57648	KIAA1522
8565	YARS1
64766	S100PBP
252995	FNDC5
3208	HPCA
113452	TMEM54
	AL031602.2
127544	RNF19B
	AL031602.1
	AL355864.1
	AL355864.2
	AL020995.1
204	AK2
113451	AZIN2
	AL662907.1
55223	TRIM62
	AL662907.2
	AL662907.3
149076	ZNF362
	AL513327.2
127550	A3GALT2
	AL513327.1
1912	PHC2
100500853	MIR3605
	RN7SKP16
101929464	PHC2-AS1
	TLR12P
7579	ZSCAN20
	AC115285.1
114784	CSMD2
	HSPD1P14
127540	HMGB4
402779	CSMD2-AS1
	RNA5SP42
84970	C1orf94
	AC115286.1
	AC099565.1
693137	MIR552
113444	SMIM12
2709	GJB5
127534	GJB4
	AL121988.1
2707	GJB3
2701	GJA4
	AL122010.1
58512	DLGAP3
	AC114490.3
653160	AC114490.1
	AC114490.2
100506144	TMEM35B
9204	ZMYM6
79830	ZMYM1
	RPL12P45
	EFCAB14P1
	AL590434.1
6421	SFPQ
9202	ZMYM4
	RN7SL503P
	SNORA62
	RPL5P4
100861513	ZMYM4-AS1
79932	KIAA0319L
	AC004865.1
23154	NCDN
	AC004865.2
339488	TFAP2E
5690	PSMB2
127703	C1orf216
63967	CLSPN
	AL354864.1
192670	AGO4
26523	AGO1
	CFAP97P1
	AL139286.2
	AL139286.1
192669	AGO3
	AL138787.2
	AL138787.1
27285	TEKT2
54936	ADPRS
1296	COL8A2
27095	TRAPPC3
55700	MAP7D1
	RN7SL131P
9967	THRAP3
	UBE2V2P4
79729	SH3D21
55194	EVA1B
	AL591845.1
83931	STK40
84967	LSM10
	RNU4-27P
127700	OSCP1
109616970	SNORA63C
64960	MRPS15
1441	CSF3R
	FTLP18
	AL596257.1
	AC117945.2
	AC117945.1
2899	GRIK3
	AL031430.1
	AL353604.1
100422898	MIR4255
	RNU6-636P
	RNA5SP43
	RPS29P6
728431	LINC01137
80149	ZC3H12A
102465438	MIR6732
64769	MEAF6
100847010	MIR5581
79753	SNIP1
	FTH1P1
	AL034379.1
7802	DNALI1
29889	GNL2
	AL513220.1
284654	RSPO1
54955	C1orf109
55143	CDCA8
284656	EPHA10
	ACTN4P2
	AL929472.1
149175	MANEAL
	AL929472.3
79693	YRDC
127687	C1orf122
4520	MTF1
	AL929472.4
3633	INPP5B
	AL929472.2
	SNORA63
	RNU6-584P
10946	SF3A3
	RNU6-510P
2275	FHL3
51118	UTP11
5453	POU3F1
	MIR3659HG
	AL139158.1
100500801	MIR3659
	LINC02786
	AL390839.1
	AL390839.2
339442	LINC01343
	AL513479.1
	RNU6-753P
	LINC01685
	HSPA5P1
	AL354702.1
64121	RRAGC
	AL139260.2
	AL139260.1
26292	MYCBP
	AL139260.3
81025	GJA9
54933	RHBDL2
	RNU6-605P
	EIF1P2
79647	AKIRIN1
4725	NDUFS5
23499	MACF1
	RNU6-608P
	RNA5SP44
	AL442071.2
	AL442071.1
	HSPE1P8
353500	BMP8A
	OXCT2P1
728448	PPIEL
8761	PABPC4
	PABPC4-AS1
677834	SNORA55
26508	HEYL
	AL035404.2
84618	NT5C1A
51440	HPCAL4
10450	PPIE
	AL035404.1
	RNU7-121P
656	BMP8B
64064	OXCT2
105378666	BMP8B-AS1
101929536	AL033527.2
	AL033527.1
	AL033527.3
	LINC02811
54802	TRIT1
4610	MYCL
105378668	MYCL-AS1
84879	MFSD2A
	AL663070.1
10487	CAP1
5538	PPT1
	OAZ1P1
6018	RLF
	RNU6-1237P
127391	TMCO2
	AL050341.2
10269	ZMPSTE24
	AL050341.1
1298	COL9A2
	AL031985.2
64744	SMAP2
	AL031985.1
	AL031985.4
65243	ZFP69B
	AL031985.3
	AL603839.4
339559	ZFP69
	AL603839.3
64789	EXO5
	AL603839.1
	AL603839.2
127396	ZNF684
	AL356379.2
	AL356379.1
	GTF2F2P2
9783	RIMS3
	AL031289.2
	AL031289.1
	NFYC-AS1
4802	NFYC
407034	MIR30E
407031	MIR30C1
9132	KCNQ4
	RN7SL326P
163732	CITED4
	AC119677.1
	AL391730.1
	AL391730.2
	UBE2V1P8
1503	CTPS1
100507178	SLFNL1-AS1
200172	SLFNL1
22955	SCMH1
	RPL23AP17
	AC093151.7
	AC093151.2
	AC093151.1
	AC093151.5
100132074	FOXO6
101929901	FOXO6-AS1
	RNA5SP45
1907	EDN2
59269	HIVEP3
	AL445933.2
	AL445933.1
	AC119676.1
	AL158216.1
	HNRNPFP1
	AC114492.1
2981	GUCA2B
2980	GUCA2A
22887	FOXJ3
	AC096540.1
284716	RIMKLA
	AL513331.1
84217	ZMYND12
79717	PPCS
728621	CCDC30
	RPS3AP11
	TMSB4XP1
	RNU6-536P
	AL445669.1
10465	PPIH
	AC098484.4
	AC098484.2
4904	YBX1
149461	CLDN19
64175	P3H1
79078	C1orf50
	AC098484.3
	AC098484.1
100129924	TMEM269
374969	SVBP
114625	ERMAP
	AL512353.1
51058	ZNF691
	AL512353.2
	AL512353.3
	ATP6V1E1P1
6513	SLC2A1
	ATP6V0CP4
440584	SLC2A1-AS1
	AC099795.1
	RNU6-880P
	AL161637.2
	AL161637.1
440585	FAM183A
10969	EBNA1BP2
102465439	MIR6733
149465	CFAP57
	RNA5SP46
128218	TMEM125
149466	C1orf210
7075	TIE1
4352	MPL
	AL139289.2
	AL139289.1
991	CDC20
64834	ELOVL1
102466723	MIR6734
112950	MED8
	MED8-AS1
23334	SZT2
100873952	SZT2-AS1
102465440	MIR6735
81888	HYI
	HYI-AS1
5792	PTPRF
	AL451062.3
9682	KDM4A
	KDM4A-AS1
6487	ST3GAL3
101929592	AL451062.1
	AL451062.2
102464830	MIR6079
	SHMT1P1
9048	ARTN
	AL357079.1
	AL357079.3
9670	IPO13
	AL357079.2
1802	DPH2
533	ATP6V0B
8704	B4GALT2
149473	CCDC24
6536	SLC6A9
	AL139220.2
	AL139220.1
	KRT8P47
	RN7SL479P
128209	KLF17
	AL356653.1
105378952	KLF18
	AL359839.1
	OOSP1P1
	AL035417.1
	AL035417.2
55929	DMAP1
79033	ERI3
100874278	ERI3-IT1
	RNU6-369P
55182	RNF220
100847089	MIR5584
79639	TMEM53
339541	ARMH1
26828	RNU5F-1
	RNU5D-1
11004	KIF2C
	AL592166.1
6202	RPS8
26811	SNORD55
94161	SNORD46
94162	SNORD38A
	SNORD38B
94163	SNORD38B
	RPS15AP11
266675	BEST4
1263	PLK3
343521	TCTEX1D4
149478	BTBD19
8643	PTCH2
	RNU5E-6P
	AL136380.1
8891	EIF2B3
	RNA5SP47
	CCNB1IP1P1
	PPIAP35
	MRPS17P1
79654	HECTD3
7389	UROD
57643	ZSWIM5
	OSTCP5
400752	LINC01144
84842	HPDL
4595	MUTYH
	AL451136.1
114034	TOE1
10420	TESK2
	PPIAP36
126661	CCDC163
25974	MMACHC
5052	PRDX1
	HMGB1P48
10327	AKR1A1
	AL355480.3
	AL355480.1
4678	NASP
	AL355480.2
	AL355480.4
149483	CCDC17
60313	GPBP1L1
	RPS15AP10
	AL604028.2
51249	TMEM69
3652	IPP
	AL604028.1
	AL603882.1
23139	MAST2
	TMA16P2
8503	PIK3R3
110117499	P3R3URF-PIK3R3
	AL358075.1
	AL358075.3
101929626	AL358075.2
10103	TSPAN1
110117498	P3R3URF
55624	POMGNT1
541468	LURAP1
8438	RAD54L
10489	LRRC41
7388	UQCRH
387338	NSUN4
	AL122001.1
2166	FAAH
	FAAHP1
101929651	LINC01398
127343	DMBX1
105378696	TMEM275
100507423	MKNK1-AS1
148930	KNCN
8569	MKNK1
148932	MOB3C
64756	ATPAF1
	NENFP1
374973	TEX38
100130197	EFCAB14-AS1
9813	EFCAB14
	AL593856.1
1580	CYP4B1
163720	CYP4Z2P
	AL731892.1
1579	CYP4A11
	CYP4A26P
	CYP4A43P
